Date;Contenu_retour;Source
08/02/2023;"Recherche désespérément V2N et Régio2n afin d'avoir de la place assise, comme le souhaite Bertrand et le trajet triple A avec A comme assis et A comme à l'heure. Deux manquements sur trois. 
@Fdhersin";Twitter @Fdhersin
08/02/2023;"Une honte que le personnel de bord ne s'excuse pas pour le voyage en bétaillère et pour le retard. 
@Fdhersin";Twitter @Fdhersin
09/02/2023;"Nullissime votre application sncf connect. Je clique sur mon TER Creil-PNO 6h31 dans lequel je suis, pour signaler qu'il est bondé. Elle ne connaît pas Paris Gare du Nord et me dit ne pas connaître l'existence du train et me propose un tgv. 
@SNCFvamtuer
 
@FDhersin";Twitter @Fdhersin
12/02/2023;"Il faut geler les péages pour accroître l’offre ferroviaire et non la tuer. C’est l’intérêt à moyen terme des 
@Regionsdefrance
 et de 
@SNCFReseau
 c’est en soutenant une dynamique que les recettes augmenteront, certainement pas en faisant chuter les circulations fret et voyageurs";Twitter @Fdhersin
12/02/2023;C’est bien beau de dénoncer un « scandale ». Mais combien d’heure de retard à cause de la sncf et combien d’heure de retard à cause de causes extérieurs ? Ne pas tout mélanger;Twitter @Fdhersin
13/02/2023;"Splendide encore ce soir là gestion. 17h34 PNO-St Quentin en mode raccourci, déjà plein 20mn avant le départ. A 5mn du départ c'est version boite à sardine. 
@SNCFvamtuer
 
@Asso_LUTECE
 
@Fdhersin";Twitter @Fdhersin
13/02/2023;"C'est un réel pb dont peu de monde s'empare. Comment acheter un billet de l IDF vers les 
@hautsdefrance
 ! Les automates ne sont pas compatibles, les gares fermées et les usagers se prennent des PV, c'est ubuesque ! Il faut avancer ! 
@DoMoyse
  
@FDhersin";Twitter @Fdhersin
13/02/2023;Cool d'arriver en retard dans un mini train blindé avec de la clim en hiver. En train tous responsables... Qu'ils disent alors qu'ils passent leur temps à faire n'importe quoi;Twitter @Fdhersin
13/02/2023;passerelle traitée et, pour la première fois depuis de trop nombreux mois, train à l'heure au départ (P20, 7h21). Que cela cache-t-il ?;Twitter @Fdhersin
13/02/2023;"Affichage incorrect dans l'appli sncfconnect. 6h31 Creil-PNO annoncé comme moyen est en fait un train court et pour unijambiste. Merci de faire remonter et de revoir la façon de noter la capacité train court/moyen et long!! 
@SNCFvamtuer
 
@Fdhersin";Twitter @Fdhersin
14/02/2023;"6h31 Creil-PNO. Train court hier, train encore plus court aujourd'hui. Merci de nous faire aimer le train. 
@SNCFvamtuer
 
@Asso_LUTECE
 
@Fdhersin";Twitter @Fdhersin
16/02/2023;encore une fois demain le trajet de 6h43 Béthune Ostricourt est supprimé ! 3 fois en 5 jours de travail ou je dois prendre ma voiture ! Pourquoi payer un abonnement ??;Twitter @Fdhersin
16/02/2023;"Comme bien (trop) souvent, le train est en retard sans motif valable. Les horaires ne sont jamais respecté que ça soit sur le parcours ou à l'arrivée. 
@Fdhersin";Twitter @Fdhersin
17/02/2023;"Ce matin  comme beaucoup de matin, le K70 de 7h16 ou celui de 8h16 avait du retard pour direction Dunkerque.
Les usagers de cette ligne sont de plus en plus agacés : moi le premier qui arrive en retard au travail si je me décide pas à me rendre au travail en voiture finalement....
Des discussions inutiles avec les contrôleurs : y en a eu... La seule réponse est ""on va faire remonter"" mais à croire que ça sert à rien...
Alors que peut on faire ? Doit on attendre qu'un usager craque à en frapper un personnel SNCF pour se faire comprendre ?
Stop au retard quotidien. La SNCF ne se rend pas compte du stress que cela engendre et les conséquences dans la vie des personnes";Facebook Groupe des usagers en colère des ter des hauts de France
20/02/2023;"Un train court pour assurer le 17.45 (8 min de retard) #Douai->Lille, c’est trop court. Il est bondé, avec des gens debout ou assis dans les couloirs… 
@hautsdefrance
 
@TERHDFusagers";Twitter @TERHDFusagers
20/02/2023;"avant les projets, s'il pouvait faire que l'existant soir largement amélioré pour permettre une vie normale aux ""usagers"", enfin aux clients... ";Twitter @TERHDFusagers
20/02/2023;"Pendant ce temps des trains en retard, des suppressions, des conditions de transport indécentes … on se satisfait comme on peut / veux ! 
@TERHDF
 
@JeromeBodel
 
@JPFarandou
 
@FDhersin
 
@xavierbertrand";Twitter @Fdhersin
20/02/2023;"K70 Dunkerque-Hazebrouck-Lille de 18h12 supprimé.
Obligé de prendre celui de 19h12. Y a rien de plus agréable que de terminer une journée de travail et de devoir attendre 1h de plus.
Cerise sur le gâteau : se retrouver dans le train avec des carnavaleux bourrés.
Énième discussion avec le contrôleur : aucune réponse concrète sur comment se plaindre.
Les retards/suppressions sur cette ligne se font soit le matin soit le soir...
Au secours ! Que faire ?";Facebook Groupe des usagers en colère des ter des hauts de France
20/02/2023;"Retard 25 min en direction d’Amiens ..
Cela commence à être une routine";Facebook Groupe des usagers en colère des ter des hauts de France
22/02/2023;"Il y a peu de choses qui me dégoutent, mais les ""clic-clic"" du gars qui se coupe les ongles dans le train, ça en fait partie...
#terhdf 
#sncf";Twitter #TERHDF
22/02/2023;#TerHDF 848536 Amiens/Paris Nord départ 6h22;Twitter #TERHDF
23/02/2023;Pas un jour sans annulations et retards sur #TERHDF et vous vous osez vous autocongratuler ??, un peu de sérieux Monsieur le ministre …;Twitter #TERHDF
23/02/2023;"jour à marquer d'une pierre blanche. Le P20 annoncé arriver à 7h33 à Amiens est arrivé à l'heure.
Reste à reproduire l'exploit tous les jours à partir de demain.
Comme quoi, la régulation du trafic n'est pas un fatalité.
La gestion opérationnelle est autant /";Twitter @Fdhersin
23/02/2023;"Et cet après-midi, pas de train à 16h21. Depuis novembre, le train de 18h23, qui devait être supprimé temporairement, ne roule plus. Dans le même temps, le stationnement en voiture des résidents devient payant à Lille à compter de mai. Y a pas comme un problème 
@FDhersin
 ?";Twitter @Fdhersin
23/02/2023;Je fais tous les jours la navette Lille-Tournai pour aller travailler. En période de vacances scolaires, c'est systématique, il y a si peu de personnel que la moitié des trains français sont supprimés. Je suis rentrée à 22h30 hier soir, mon train de 19h23 ayant été supprimé.;Twitter @Fdhersin
